year,month,vendor,categories,item,description,qty,source_type
2023,December,CONSTANTINE WINES INC,WINE,356528,LUBANZI ROSE BUBBLES CANS - 250ML,2,Purchase order
2023,December,SAZERAC CO,LIQUOR,35866,BOWMAN'S VODKA - 375ML,120,Purchase order
2023,December,GRAPES OF SPAIN INC,WINE,332476,VINA OTONO GRAN RES - 750ML,4,Purchase order
2023,December,PIPE CREEK WINES LLC,WINE,241266,PARADOSSO MONTEPULCIANO D'ABRUZZO - 750ML,7,Purchase order
2023,December,E & J GALLO WINERY,WINE,86436,MANISCHEWITZ CONCORD GRAPE - 1.5L,64,Purchase order
2023,December,DMV DISTRIBUTING LLC,WINE,236662,TIME WAITS FOR NO ONE RED - 750ML,2,Purchase order
2023,December,CHESAPEAKE DISTRIBUTING LLC,BEER,14647,FIRESTONE DOUBLE MIND HAZE 12/19.2OZ CANS,3,Purchase order
2023,December,TRADEWINDS SPECIALTY IMPORTS LLC,WINE,135631,VIU MANENT EST RES MAL - 750ML,1,Purchase order
2023,December,RELIABLE CHURCHILL LLLP,WINE,244005,TOZAI NIGHT SWIM 6/5PK CAN - 180ML,1,Purchase order
2023,December,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,170207,GAIA AGIORGITIKO 750ML,2,Purchase order
2023,December,JIM BEAM BRANDS CO,LIQUOR,61980,PINNACLE VODKA - 750ML,56,Purchase order
2023,December,E & J GALLO WINERY,WINE,88428,BAREFOOT CEL PEACH FRUITSCATO - 750ML,17,Purchase order
2023,December,ATLAS BREW WORKS LLC,BEER,29041,ATLAS DISTRICT COMMON 4/6 CAN,50,Purchase order
2023,December,MILLER BREWING COMPANY,BEER,51145,STEEL RESERVE STRWBRRY BRST  24OZ CAN,196,Purchase order
2023,December,PIPE CREEK WINES LLC,WINE,251117,CHAMPAGNE VEUVE BONNEVAL BRUT BLANC  - 750ML,3,Purchase order
2023,December,ELITE WINES IMPORTS,WINE,239112,TE AWANGA WILDSONG HAWKE'S BAY S/BLC WILDFLOWER VYD - 750ML,4,Purchase order
2023,December,BACARDI USA INC,LIQUOR,22780,GREY GOOSE VODKA - L'ORANGE - 1L,3,Purchase order
2023,December,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,193232,ORLEANS HILL OUR DAILY RED - 750ML,9,Purchase order
2023,December,ANHEUSER BUSCH INC,BEER,353622,HOOP TEA VARIETY PACK - 2/12 CAN,104,Purchase order
2023,December,PUNTO VINO LLC,WINE,302244,ANTON BAUER GRUNER VELT RIED GMIRK - 750ML,1,Purchase order
2023,December,ARTISANS & VINES LLC,WINE,356138,TROMBETTA SONOMA ROSE OF P/NOIR - 750ML,1,Purchase order
2023,December,DOPS INC,KEG,29948,CHIMAY BLUE GRAND RESERVE  1/6 KEG,2,Purchase order
2023,December,KYSELA PERE ET FILS LTD,WINE,64602,LIMA VINHO VERDE - 750ML,4,Purchase order
2023,December,CLIPPER CITY BREWING CO,BEER,51033,HEAVY SEAS CANNON CREW 2/12PK 12OZ CAN,18,Purchase order
2023,December,OPICI FAMILY DISTRIBUTING OF MD,WINE,362140,BLANCHARD AND LURTON SAUVIGNON BLANC - 750ML,1,Purchase order
2023,December,PRESTIGE BEVERAGE GROUP OF MD LLC,WINE,308146,GILGAL CAB - 750ML,2,Purchase order
2023,December,GRAPES OF SPAIN INC,WINE,316903,BODEGAS VINEDOS MAURODUS ROMAN - 750ML,6,Purchase order
2023,December,INTERCONTINENTAL PACKAGING COMPANY,WINE,80291,DONA PAULA EST MAL - 750ML,28,Purchase order
2023,December,THE OTHER SIDE LLC,BEER,297656,EQUILIBRIUM MC2 6/4 16OZ CAN,1,Purchase order
2023,December,PROXIMO SPIRITS INC,LIQUOR,70246,1800 SILVER TEQUILA 1.75L,180,Purchase order
2023,December,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,48670,ANTINORI CHIANTI CLASS RES - 750ML,9,Purchase order
2023,December,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,341051,SARACCO MOSC D'ASTI GIFT WRAP - 750ML,3,Purchase order
2023,December,INTERNATIONAL CELLARS LLC,WINE,235158,CAMPI VALERIO CALIDIO ROSSO DEL MOLISE - 750ML,1,Purchase order
2023,December,REPUBLIC NATIONAL DISTRIBUTING CO,LIQUOR,352140,CONCIERE GOLD VODKA - 1L,2,Purchase order
2023,December,HOUTON PURVEYORS LLC,WINE,14921,CASAL DE VENTOZELA ROSE 750ML,1,Purchase order
2023,December,DIONYSOS IMPORTS INC,WINE,345695,TARAPACA GRAN RSVA CARMENERE - 750ML,5,Purchase order
2023,December,RELIABLE CHURCHILL LLLP,WINE,391514,CHOCOLATE BLOCK RED - 750ML,1,Purchase order
2023,December,COMETE WINES LLC,WINE,170344,MERSEL ELEVATE DAW AL AWAR 750ML,1,Purchase order
2023,December,TREASURY WINE ESTATES AMERICAS COMPANY,WINE,155454,ETUDE CARNEROS P/NOIR - 750ML,1,Purchase order
2023,December,ANHEUSER BUSCH INC,BEER,91049,BUD LIGHT 18PK 12OZ CAN,1320,Purchase order
2023,December,DIONYSOS IMPORTS INC,WINE,326215,LOS MEDANOS MAL ORGANIC - 750ML,3,Purchase order
2023,December,ROYAL WINE CORP,WINE,40643,BEN AMI CAB - 750ML,1,Purchase order
2023,December,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,42734,RINGBOLT CAB - 750ML,1,Purchase order
2023,December,DIAGEO NORTH AMERICA INC,LIQUOR,20460,SEAGRAM'S 7 CROWN - 1.75L,60,Purchase order
2023,December,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,131156,CH RECOUGNE BORD SUP - 750ML,4,Purchase order
2023,December,THE OTHER SIDE LLC,BEER,17060,FOAM DEAD FLOWERS 6/4 16OZ CAN,1,Purchase order
2023,December,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,355510,ROSCATO ROSSO DOLCE SWEET RED - 250ML,2,Purchase order
2023,December,THE WINE GROUP,WINE,85502,GLEN ELLEN (CN) CAB - 1.5L,15,Purchase order
2023,December,PUNTO VINO LLC,WINE,235476,CASALE DEL GIGLIO CESANESE LAZIO ROSSO - 750ML,2,Purchase order
2023,December,HEINEKEN USA,BEER,4553,RED STRIPE 2/12 NR - 12OZ,90,Purchase order
